instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
A T Still University of Health Sciences,,,MO,Kirksville,63501,www.atsu.edu,-92.589183,40.193648,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
Abilene Christian University,27883,62,TX,Abilene,79699,www.acu.edu/admissions,-99.709797,32.468943,2,2,16,18,12,3,0,1,1,49722,49722,57,14,64,60,67,2,3,510,530,
Abraham Baldwin Agricultural College,,24,GA,Tifton,31793-2601,www.abac.edu/future-students/admissions,-83.528281,31.481889,1,2,5,23,7,2,0,1,0,22083,15345,69,62,79,57,22,1,3,460,470,
Academy for Five Element Acupuncture,,,FL,Gainesville,32601,www.acupuncturist.edu,-82.321994,29.650075,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Academy for Jewish Religion-California,,,CA,Los Angeles,90024,www.ajrca.edu/admissions,-118.438495,34.070281,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Academy of Chinese Culture and Health Sciences,,,CA,Oakland,94612,www.acchs.edu/prospective-students/admissions/,-122.269839,37.805972,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Academy of Vocal Arts,,,PA,Philadelphia,19103-6685,www.avaopera.org,-75.173735,39.947960,2,2,-2,-2,-2,1,0,1,-2,,,,,,,,,,,,
Acupuncture and Integrative Medicine College-Berkeley,,,CA,Berkeley,94704,https://www.aimc.edu/aimc-prospective-students,-122.267636,37.862754,2,2,0,26,0,1,0,1,0,,,,,,,,,,,,
Adams State University,,38,CO,Alamosa,81101,www.adams.edu/admissions/,-105.879642,37.473636,1,2,13,18,11,2,0,1,1,33724,22708,99,27,42,44,27,2,3,430,440,
Adelphi University,28130,68,NY,Garden City,11530-0701,admissions.adelphi.edu/,-73.653321,40.721439,2,2,16,17,15,3,1,1,1,58430,58430,74,13,50,68,70,2,1,540,540,
